"Time","운세","사주","타로","취업운"
"2022-12-01",64,51,22,0
"2023-01-01",72,60,23,0
"2023-02-01",60,51,20,0
"2023-03-01",54,44,19,0
"2023-04-01",52,57,21,0
"2023-05-01",46,44,18,0
"2023-06-01",46,39,17,0
"2023-07-01",45,42,17,0
"2023-08-01",47,42,15,0
"2023-09-01",46,38,16,0
"2023-10-01",49,45,17,0
"2023-11-01",56,42,18,0
"2023-12-01",80,45,18,0
"2024-01-01",72,50,18,0
"2024-02-01",50,50,18,0
"2024-03-01",58,50,17,0
"2024-04-01",58,45,16,0
"2024-05-01",54,45,16,0
"2024-06-01",42,50,20,0
"2024-07-01",32,49,23,0
"2024-08-01",31,52,23,0
"2024-09-01",31,51,19,0
"2024-10-01",36,53,19,0
"2024-11-01",35,58,20,0
"2024-12-01",53,75,23,0
"2025-01-01",47,76,25,0
"2025-02-01",43,71,22,0
"2025-03-01",36,68,22,0
"2025-04-01",33,56,20,0
"2025-05-01",31,61,20,0
"2025-06-01",34,58,19,0
"2025-07-01",37,63,23,0
"2025-08-01",42,69,25,0
"2025-09-01",39,62,28,0
"2025-10-01",41,64,31,0
"2025-11-01",53,85,26,0
"2025-12-01",60,100,25,0
